id;Name_EN;Name_SA;Website;Rega_license;Headquarters;Number_of_employees;Sales_office_Gmaps;Cities
100000;Retal Urban Development Company;شركة رتال للتطوير العمراني;https://retal.com.sa/;364;Al-Khobar, Saudi Arabia;1001-5000;https://maps.app.goo.gl/Mm3yPZMsEuvE6Xpk8;Riyadh, Jeddah, Khobar, Dammam, Hofuf, Qatif
200000;Dar Al Majid Real Estate Company;شركة دار الماجد العقارية;https://almajdiah.com/;504;Riyadh, Saudi Arabia;;https://maps.app.goo.gl/PFskxXCFipiFT5Qt5;Riyadh, Jeddah, Medina
300000;First Projects Company Limited;شركة المشاريع الأولى المحدودة;https://almashria.com/en/homev1/;1359;Riyadh, Saudi Arabia;51-200;https://maps.app.goo.gl/zPNwrBN3R7w9kCvE6;Riyadh
400000;Osus Real Estate Company;شركة اسس العقار;https://osus.com.sa/;476;Dammam, Saudi Arabia;201-500;https://maps.app.goo.gl/R2TmJrKy8qD6rqbVA;Riyadh
500000;Al Ramz Real Estate Company;شركة الرمز للعقار;https://alramzre.com/en/;1480;Riyadh, Saudi Arabia;288;https://maps.app.goo.gl/4ARtHLLKRM5FU9z78;Riyadh, Jeddah, Khobar, Dammam, Buraydah
600000;Dar Al Arkan Real Estate Development Company;شركة دار الاركان للتطوير العقاري;https://www.daralarkan.com/city/riyadh/;;Riyadh, Saudi Arabia;1001-5000;https://maps.app.goo.gl/oYdQApDNndozwiR27;Riyadh, Jeddah, Makkah, Medina, Qassim
700000;National Housing Company;الشركة الوطنية للاسكان ;https://nhc.sa/en/;1276;Riyadh, Saudi Arabia;501-1000;https://maps.app.goo.gl/9xHXgb42kpYKvhGP8;Riaydh, Jeddah, Makkah, Tabuk, Medina, Eastern region
800000;Saudi Real Estate Company (Al Akaria);الشركة العقارية السعودية;https://www.al-akaria.com/en/;571;Riyadh, Saudi Arabia;5001-10000;https://maps.app.goo.gl/VGyYtrJGUtL6mdeX8;Riyadh, Jeddah
900000;Sumou Real Estate Company;شركة سمو العقارية ;https://sumou.com.sa/homepage-en/;1431;Al-Khobar, Saudi Arabia;51-200;https://maps.app.goo.gl/5jp98vpXAqEuK8nS6;Riyadh, Jeddah, Khobar, Makkah, Dammam
1000000;Emaar The Economic City;;https://www.kaec.net/about/;;King Abdullah Economic City, Saudi Arabia;201-500;https://maps.app.goo.gl/TmovNpxSSdMEbeH1A;
