developer_id;Revenue;Net_profit;Total_assets;Total_liabilities;year;quarter;currency
100000;2 438 000 000;293 310 000;5 783 000 000;4 749 000 000;2025;;SAR
100000;567 070 000;68 130 000;4 738 000 000;3 886 000 000;2025;Q1;SAR
100000;488 440 000;66 120 000;5 185 000 000;4 263 000 000;2025;Q2;SAR
100000;676 430 000;55 500 000;5 491 000 000;4 569 000 000;2025;Q3;SAR
100000;705 860 000;103 550 000;5 783 000 000;4 749 000 000;2025;Q4;SAR
100000;2 063 000 000;266 130 000;4 235 000 000;3 393 000 000;2024;;SAR
100000;500 630 000;62 280 000;3 843 000 000;3 116 000 000;2024;Q1;SAR
100000;463 670 000;72 180 000;4 015 000 000;3 211 000 000;2024;Q2;SAR
100000;510 430 000;40 030 000;3 976 000 000;3 210 000 000;2024;Q3;SAR
100000;588 480 000;91 640 000;4 235 000 000;3 393 000 000;2024;Q4;SAR
100000;1 367 000 000;202 350 000;3 632 000 000;2 882 000 000;2023;;SAR
100000;1 107 000 000;245 740 000;2 421 000 000;1 687 000 000;2022;;SAR
100000;1 085 000 000;193 720 000;1 844 000 000;1 275 000 000;2021;;SAR
200000;1 224 000 000;261 920 000;3 100 000 000;1 993 000 000;2025;;SAR
200000;268 420 000;118 050 000;2 882 000 000;1 845 000 000;2025;Q1;SAR
200000;424 620 000;115 580 000;3 005 000 000;1 891 000 000;2025;Q2;SAR
200000;217 030 000;36 840 000;3 090 000 000;1 951 000 000;2025;Q3;SAR
200000;313 800 000;12 860 000;3 100 000 000;1 993 000 000;2025;Q4;SAR
200000;1 402 000 000;213 550 000;2 700 000 000;1 787 000 000;2024;;SAR
200000;324 680 000;78 910 000;2 765 000 000;1 787 000 000;2024;Q3;SAR
200000;395 010 000;32 050 000;2 700 000 000;1 845 000 000;2024;Q4;SAR
200000;987 620 000;147 380 000;2 325 000 000;1 594 000 000;2023;;SAR
200000;1 067 000 000;126 680 000;2 362 000 000;1 683 000 000;2022;;SAR
200000;1 099 000 000;286 840 000;1 957 000 000;1 379 000 000;2021;;SAR
500000;636 970 000;171 430 000;2 108 000 000;1 155 000 000;2025;Q3;SAR
500000;951 750 000;158 350 000;1 364 000 000;623 280 000;2024;;SAR
500000;215 440 000;53 440 000;1 364 000 000;623 280 000;2024;Q4;SAR
500000;449 580 000;104 390 000;;;2024;Q3;SAR
500000;531 910 000;126 600 000;955 490 000;346 070 000;2023;;SAR
500000;343 370 000;83 140 000;473 410 000;70 440 000;2021;;SAR
600000;3 900 000 000;1 134 000 000;41 613 000 000;19 380 000 000;2025;;SAR
600000;1 098 000 000;430 170 000;41 613 000 000;19 380 000 000;2025;Q4;SAR
600000;1 017 000 000;255 640 000;40 723 000 000;18 873 000 000;2025;Q3;SAR
600000;852 140 000;238 640 000;35 588 000 000;14 053 000 000;2025;Q2;SAR
600000;932 010 000;209 730 000;36 090 000 000;14 780 000 000;2025;Q1;SAR
600000;3 759 000 000;807 830 000;36 940 000 000;15 840 000 000;2024;;SAR
600000;;;36 940 000 000;15 840 000 000;2024;Q4;SAR
600000;961 560 000;134 540 000;34 899 000 000;14 166 000 000;2024;Q3;SAR
600000;864 920 000;165 970 000;34 811 000 000;14 230 000 000;2024;Q2;SAR
600000;400 850 000;153 590 000;34 426 000 000;13 991 000 000;2024;Q1;SAR
600000;2 707 000 000;610 760 000;33 655 000 000;13 363 000 000;2023;;SAR
600000;3 925 000 000;441 720 000;33 513 000 000;13 909 000 000;2022;;SAR
600000;2 493 000 000;132 520 000;31 962 000 000;12 802 000 000;2021;;SAR
800000;423 610 000;38 900 000;9 476 000 000;3 906 000 000;2025;Q3;SAR
800000;498 600 000;94 450 000;9 428 000 000;3 905 000 000;2025;Q2;SAR
800000;637 310 000;135 170 000;9 359 000 000;3 935 000 000;2025;Q1;SAR
800000;2 043 000 000;215 060 000;9 429 000 000;4 246 000 000;2024;;SAR
800000;781 450 000;188 180 000;9 429 000 000;4 246 000 000;2024;Q4;SAR
800000;440 860 000;38 150 000;9 204 000 000;4 221 000 000;2024;Q3;SAR
800000;390 040 000;-14 190 000;9 062 000 000;4 161 000 000;2024;Q2;SAR
800000;430 640 000;2 920 000;8 993 000 000;4 059 000 000;2024;Q1;SAR
800000;1 834 000 000;67 630 000;8 911 000 000;4 028 000 000;2023;;SAR
800000;2 068 000 000;110 540 000;8 853 000 000;4 160 000 000;2022;;SAR
800000;1 040 000 000;54 910 000;7 781 000 000;4 782 000 000;2021;;SAR
900000;522 690 000;135 260 000;1 704 000 000;937 360 000;2025;;SAR
900000;429 510 000;106 600 000;1 303 000 000;670 460 000;2024;;SAR
900000;273 820 000;103 010 000;850 110 000;314 340 000;2023;;SAR
900000;282 840 000;87 640 000;718 250 000;184 670 000;2022;;SAR
900000;103 130 000;81 210 000;620 020 000;165 780 000;2021;;SAR
1000000;358 460 000;-134 870 000;15 303 000 000;10 350 000 000;2025;Q3;SAR
1000000;118 410 000;-43 660 000;15 251 000 000;10 158 000 000;2025;Q2;SAR
