project_id;item_number;block_number;plan_number;Area;GSR;Location_Gmaps;;;;
100001;1062 - 1080;83;3069;19381,0;35%;https://maps.app.goo.gl/VAkambkVSb2htPJy8;Retal Heights;;;
200001;414, 415, 883, 884;41;2593/ج;2719,8;35%;https://maps.app.goo.gl/3MKHJqrzL5z4bdx19;Makanah;;;
300001;2343, 2344;;1863/أب;1800,8;35%;https://maps.app.goo.gl/TofGRgV2vwNifpSo8;First Projects Tower, Al-Sahafa District;;;
300002;144, 145, 146, 147;;1343;3145,0;35%;https://maps.app.goo.gl/3268nEkbEi4r8bMV9;First Projects Tower, Al-Olya District;;;
400001;63, 64;12;3260;103104,0;35%;https://maps.app.goo.gl/3GNLHJkyYccKgVZB8;Osus Eye;;;
4600001;3/2/4/1;;1184/أ;3383,4;35%;https://maps.app.goo.gl/d4BMRT2XDZiakhue8;Thuraya Tower;;;
3600001;2263;;1863/أب;899,5;35%;https://maps.app.goo.gl/QWV1WgDBTuGhavGM6;I-Qube Tower;;;
3700001;2339;;1863/أب;900,0;35%;https://maps.app.goo.gl/bbi4fxWD4J4X6qLQ9;Malfa Tower;;;
2700008;408/4;;1392;1915,5;35%;https://maps.app.goo.gl/tnXYH8gr1EfwAtR7A;Centrina;;;
4300001;;;;7142,8;35%;https://maps.app.goo.gl/yptKk4FzEZcdHAAS7;Centra Tower;;;
4100001;1362;;3114;10772,5;35%;https://maps.app.goo.gl/E8eJRgsoJyEkLpAn7;Urubah Tower;;;
4200001;2299;;1863/أب;814,2;35%;https://maps.app.goo.gl/uKafsVwUSDnxhb387;Summit Tower;;;
2900004;2284, 2285;;2413;4004,6;35%;https://maps.app.goo.gl/GrZsbavvmGifU9SR7;Sufana 5&6;;;
3000001;2369;;1863/أب;806,8;35%;https://maps.app.goo.gl/8SK6ySe9qnGTLC9x7;Rayah Tower;;;
3900001;2399, 2400;;1863/أب;1618,4;35%;https://maps.app.goo.gl/cPEND32D1Pw2ykbg8;Naya Tower;;;
4000001;2367;;1863/أب;806,9;35%;https://maps.app.goo.gl/vvGS6RZntPD2gEHP9;Anan View Tower;;;
4700001;2293;;1863/أب;1397,0;35%;https://maps.app.goo.gl/hhxmWSX5BdrkyGYF9;Mena Rise Tower;;;
4400001;2233;;2413;1998,2;35%;https://maps.app.goo.gl/F9UuzxSPzuWCKr6HA;Horizon Tower;;;
4500001;2379;;1863/أب;918,7;35%;https://maps.app.goo.gl/7pMuN1mg7WqokEoSA;Calma Al Sahafah Tower;;;
1500001;1082/أ/1 ,1082/أ/2;;1863/أب;20033,8;35%;https://maps.app.goo.gl/Qnag8yo3TV1GbGPq8;Lavie Yard;;;
1500002;بدون;;2837;69170,6;35%;https://maps.app.goo.gl/1GYMKHGrhKTbypyd8;Elevee;;;
2200001;39/1, 39/2, 39/3, 39/4, 40/30/29/28/1;;1905;45695,1;35%;https://maps.app.goo.gl/k7eLePJU7pWqaXvV7;Live in Liwan;;;
3400001;2429;;1863/أب;941,5;35%;https://maps.app.goo.gl/jCkwkX6QbMDCF8rr6;Elite Tower;;;
3500001;2440, 2442;;1863/أب;1499,5;35%;https://maps.app.goo.gl/kfatyKfBrKWs26MJ8;V Tower;;;
3200003;2370;;1863/أب;822,6;35%;https://maps.app.goo.gl/aRL5Gce3gaRT8Yh86;Royal Residence 2;;;
2800001;2351;;1863/أب;897,2;35%;https://maps.app.goo.gl/MdP5gqpXayx1vmXm6;Majestic;;;
3800001;402/أ, 403/أ;46;897;1599,7;35%;https://maps.app.goo.gl/7jbAgLXa5DiGJCMx7;Yamama City Center;;;
2500004;2366;;1863/أب;824,6;35%;https://maps.app.goo.gl/9y9Gzv83dnVUp2QY9;Polaris;;;
2800002;2393;;1863/أب;898,2;35%;https://maps.app.goo.gl/PqT2A3VczRXUookd7;Ivory Tower 1;;;
2800003;2403;;1863/أب;770,8;35%;https://maps.app.goo.gl/knKrgF29DWZXYy7J9;Ivory Tower 2;;;
2800004;2404;;1863/أب;847,4;35%;https://maps.app.goo.gl/2X43Qt61qFFNhjPR7;Ivory Tower 3;;;
3100001;2389;;1863/أب;901,4;35%;https://maps.app.goo.gl/u4abbpBkGhY1nyYa7;Jood 3;;;
3100002;2395;;1863/أب;910,9;35%;https://maps.app.goo.gl/2vdomgHQcsc9sNHL9;Jood 4;;;
3100003;2455;;1863/أب;800,3;35%;https://maps.app.goo.gl/ZR7DTjZxwbFcbp7W7;Jood 5;;;
3100004;15;;2593/ج;1800,1;35%;https://maps.app.goo.gl/ZsfXVs8D35U2TmDv9;Jood 6;;;
3100005;2368;;1863/أب;824;35%;https://maps.app.goo.gl/1VoVBMMEZHvzBpi66;Jood 7;;;
3100006;2428;;1863/أب;1073,5;35%;https://maps.app.goo.gl/Na12V4XEesoUATMF6;Jood 8;;;
3100007;2451;;1863/أب;826,1;35%;https://maps.app.goo.gl/yrRdcV4sEvyrN2E16;Jood 9;;;
3200001;2302;;1863/أب;778,1;35%;https://maps.app.goo.gl/b3tBrLDkdaPe7FTy6;Royal Residence 1;;;
2800005;2398;;1863/أب;900;35%;https://maps.app.goo.gl/vHNBmwxMQztaG9bx7;Balconia Tower;;;
2900001;2396;;1863/أب;910;35%;https://maps.app.goo.gl/Nnsf9UU3yfKRvhJv8;Sufana 4;;;
2900002;2383;;1863/أب;900;35%;https://maps.app.goo.gl/VYmH7tuN11h67jyh6;Sufana 3;;;
2900003;2454;;1863/أب;798,3;35%;https://maps.app.goo.gl/kvefnmjSKU4xFuv49;Sufana 2;;;
3200002;2425;;1863/أب;945,8;35%;https://maps.app.goo.gl/zt2VZwskbzLyoCtQ6;Judya;;;
2700001;697, 698;78;1324/ب;1662,8;35%;https://maps.app.goo.gl/LAcb9FdDa8j1u6XD6;Oval;;;
2700002;200/31;;1392;1915,5;35%;https://maps.app.goo.gl/QMJL2gFiUww4jycM6;M Residence Dabab;;;
2700003;;;;901,4;35%;https://maps.app.goo.gl/7GhQr7qR2DiNypmt5;M Residence North;;;
2700004;;;;732;35%;https://maps.app.goo.gl/VAGTm6R8Mhyhvd6p7;M Residence South;;;
2700005;108/7;;1193;2005,9;35%;https://maps.app.goo.gl/zSu1cBQ5g8iNGUHa8;Riyadh Sentral;;;
2700006;419, 420, 888, 889;41;2593/ج;2105,4;35%;https://maps.app.goo.gl/kUrLzLuL4BoueBHcA;Twin Towers;;;
2700007;2281 - 2286;53;1578/ب;4879,6;35%;https://maps.app.goo.gl/qwbC5Ci94qqUz2Lq7;Curves Residence;;;
3300001;1320 - 1324;35;1578/ب;5262,9;35%;https://maps.app.goo.gl/DifeFGjAv9WpT5N6A;Palms Residence Tower;;;
2500001;2235;;2413;2499,5;35%;https://maps.app.goo.gl/MNLvMboBqZvy4Bs98;Alawaly Rise;;;
