developer_id;project_id;Project_name_EN;Project_name_SA;Status;Type;brochure;website
100000;100001;Retal Heights;ريتال هايتس;planned;Apartments;;https://retal.com.sa/en/properties/retal-heights/
200000;200001;Makanah;مكانة;ongoing;Apartments;https://drive.google.com/file/d/1ePYeMpg7ZjEAG9_d_KVEQcA8YFLjo22Q/view?usp=sharing;https://almajdiah.com/projects/210
300000;300001;First Projects Tower, Al-Sahafa District;برج المشاريع الأولى حي الصحافة;ongoing;Apartments;https://drive.google.com/file/d/1fjFekGr7edOUaiofhk94dM344-0VOT0b/view?usp=drive_link;https://almashria.com/en/portfolio-item/first-projects-towers/
300000;300002;First Projects Tower, Al-Olya District;برج المشاريع الأولى حي العليا;ongoing;Apartments;https://drive.google.com/drive/folders/1mtY18wcdWk54LaLHFpyif7KIipM6Z3NB?usp=drive_link;https://almashria.com/en/portfolio-item/first-projects-sky/
400000;400001;Osus Eye;عين أسس;ongoing;Apartments;https://drive.google.com/drive/folders/1S-39gRLfbfjXpbeMO34xyhtpSKcRpoBb?usp=drive_link;https://osus.com.sa/en/projects/osus-eye/
4600000;4600001;Thuraya Tower;برج الثريا;ongoing;Apartments;https://drive.google.com/file/d/1ECXrVh7v9OsJ1iwYABu2ANwhHnECnHnR/view?usp=sharing;https://www.madaproperties.sa/en/projects/thuraya-tower
3600000;3600001;I-Qube Tower;اي كيوب;ongoing;Apartments;https://drive.google.com/file/d/110WrgRTXaGy4YrqIDipBBTHYpGIJ2O2K/view?usp=sharing;https://www.madaproperties.sa/en/projects/i-queb-tower
3700000;3700001;Malfa Tower;برج ملفى;ongoing;Apartments;https://drive.google.com/file/d/1RFoRWym3cRSY9HZsOBEv8xR1yoI3naIi/view?usp=drive_link;https://www.madaproperties.sa/en/projects/malfa-tower
2700000;2700008;Centrina;ذا سنترينا;ongoing;Apartments;https://drive.google.com/file/d/1kTJkfeN99Vq0cRfpud4eulpFM4rE8UVZ/view?usp=sharing;https://www.thecentrina.sa/
4300000;4300001;Centra Tower;سنترا تاور;ongoing;Apartments;https://drive.google.com/file/d/1BxgCPKScAiYN9Pv41yiPc18afbRMSEiC/view?usp=sharing;https://www.madaproperties.sa/en/projects/centra-tower
4100000;4100001;Urubah Tower;برج عروبة;ongoing;Apartments;https://drive.google.com/file/d/1YFOvB5cAZIvVksGAsU13IfF2774qcAao/view?usp=drive_link;https://urubah.sa/en/projects/urubah-tower/
4200000;4200001;Summit Tower;برج صمد ;ongoing;Apartments;https://drive.google.com/file/d/1XviTk2dTpPtMxnhDGTwL0iAt8446tcxj/view?usp=drive_link;https://www.madaproperties.sa/en/projects/summit-tower
2900000;2900004;Sufana 5&6;سفانة 5-6;ongoing;Apartments;https://drive.google.com/file/d/1aK6192xQ0HS175Qq5_9JU_H1LLxNLfEg/view?usp=sharing;https://www.madaproperties.sa/en/projects/sufana-5-and-6-residential-tower
3000000;3000001;Rayah Tower;برج راية;ongoing;Apartments;https://drive.google.com/drive/folders/1Vf8ug-mpwlolm3kbJVvRfPXDi2RTrsxG?usp=drive_link;https://www.madaproperties.sa/en/projects/rayah-tower
3900000;3900001;Naya Tower;نايا تاور;ongoing;Apartments;https://drive.google.com/drive/folders/1Vf8ug-mpwlolm3kbJVvRfPXDi2RTrsxG?usp=drive_link;https://nayarealty.sa/مشاريع/?project=strata-tower
