project_id;GFA;NSA;Floors;Units;Average_unit_area;Start_of_sales;End_of_sales;Handover;percent_of_sold;
100001;;;;;;;;;;Retal Heights
200001;;;33;140;;01.11.2025;;01.01.2028;;Makanah
300001;;9926;29;201;85;01.12.2025;;;;First Projects Tower, Al-Sahafa District
300002;;9926;36;106;94;01.04.2025;;31.12.2028;28%;First Projects Tower, Al-Olya District
400001;186073;;;;;01.09.2025;;;34%;Osus Eye
4600001;;;29;;;01.02.2026;;31.09.2028;;Thuraya Tower
3600001;;4871;24;41;119;01.02.2026;;31.12.2028;;I-Qube Tower
3700001;;5494;24;49;112;01.02.2026;;31.09.2028;;Malfa Tower
2700008;;;18;70;;;;31.06.2028;;Centrina
4300001;;41128;32;346;119;01.02.2026;;31.12.2027;;Centra Tower
4100001;160000;62481;53;450;139;;;;;Urubah Tower
4200001;;5222;28;41;127;;;31.06.2028;;Summit Tower
2900004;;24586;28;193;127;01.12.2025;;;;Sufana 5&6
3000001;;6136;26;46;133;01.09.2025;;31.12.2028;;Rayah Tower
3900001;;13157;23;90;146;;;;;Naya Tower
4000001;;7630;30;32;238;;;;;Anan View Tower
4700001;;7840;20;49;160;;;01.10.2026;;Mena Rise Tower
4400001;;11300;27;92;123;01.04.2025;31.10.2025;;100%;Horizon Tower
4500001;;5038;22;38;133;01.04.2025;;29.10.2027;;Calma Al Sahafah Tower
1500001;;45044;33;390;115;;;;;Lavie Yard
1500002;;;;;;;;;;Elevee
2200001;;;;470;;01.11.2023;;31.12.2026;;Live in Liwan
3400001;;6046;24;43;141;01.01.2025;;31.06.2027;;Elite Tower
3500001;;9560;30;76;126;01.02.2025;31.04.2025;31.09.2027;100%;V Tower
3200003;;6544;24;41;160;01.01.2025;31.04.2025;31.12.2027;100%;Royal Residence 2
2800001;;9020;24;36;196;01.12.2024;31.10.2025;31.12.2025;100%;Majestic
3800001;;15860;26;97;164;01.09.2024;;31.09.2027;100%;Yamama City Center
2500004;;6296;26;38;166;;;31.12.2026;100%;Polaris
2800002;;6716;25;38;177;;31.01.2025;31.12.2027;100%;Ivory Tower 1
2800003;;6716;25;38;177;01.01.2025;31.10.2025;31.12.2027;100%;Ivory Tower 2
2800004;;6716;25;38;177;;;31.12.2027;100%;Ivory Tower 3
3100001;;7156;19;31;231;;;31.12.2023;;Jood 3
3100002;;7548;18;48;157;;;31.12.2023;;Jood 4
3100003;;6429;18;42;153;;;31.12.2023;;Jood 5
3100004;;;27;;;;;;;Jood 6
3100005;;9029;27;48;188;;;;;Jood 7
3100006;;11308;26;92;123;;;;;Jood 8
3100007;;8569;25;44;195;;;;;Jood 9
3200001;;6240;21;40;156;;;31.12.2023;100%;Royal Residence 1
2800005;;5964;20;32;186;;;31.03.2026;100%;Balconia Tower
2900001;;5756;25;41;140;01.03.2025;;;;Sufana 4
2900002;;7786;24;42;185;;;31.06.2026;100%;Sufana 3
2900003;;7879;23;42;188;;;31.12.2023;100%;Sufana 2
3200002;;7196;18;45;160;;;31.12.2023;100%;Judya
2700001;13000;9257;28;69;134;01.01.2022;;31.12.2025;;Oval
2700002;10000;6655;8;48;139;;;;100%;M Residence Dabab
2700003;6000;3366;16;28;120;;;31.12.2023;100%;M Residence North
2700004;3000;2079;12;17;122;;;31.12.2024;100%;M Residence South
2700005;;;14;60;;;;31.12.2024;;Riyadh Sentral
2700006;18000;11492;24;90;128;;;31.12.2023;;Twin Towers
2700007;45000;31710;28;246;129;01.01.2024;;31.12.2026;;Curves Residence
3300001;;10900;31;75;145;;;31.12.2025;100%;Palms Residence Tower
2500001;;;27;111;;;;30.11.2027;100%;Alawaly Rise
2500002;;;31;106;;01.12.2025;;31.06.2028;;Alwaly Business Center
2500003;;;45;192;;01.10.2025;;31.06.2028;;Alawaly Tower
2600001;;;27;122;;01.02.2026;;31.12.2027;;Al Adwan Offfice Tower
400002;;;;;;;;;;Osus Prime
400003;;;;;;01.12.2025;;31.12.2029;;Osus Makan
400004;20475;6311;24;35;180;;;;;Osus Edge
400005;35155;;20;34;;;;;;Osus Green Tower
2700009;;;;;;;;;;Meem Heights
400006;382465;;3;1088;;;;;;Sajaya by OSUS
1300001;204479;;;515;;;;;100%;Eyal Al-Khuzam
1300002;251303;;;742;;;;;;Eyal Al Fursan
1300003;;;;;;;;;;Ala Al-Yasmin
1300004;;;;1492;;;;;;Kaheel
1300005;98971;;;455;;;;;100%;Eyal Al Asala
1300006;750000;;;;;;;;;Enar
2500004;;;;;;;;;;Andalus Commercial Complex
200002;;;;;;;;;;Al Majdiah 165
200003;;;4;;;;;;;Al Majdiah 173
200004;;;;;;;;;;Al-Mashriqiyah 2
200005;;;;;;;;;;Al Majdiah 171
200006;;;;;;;;;;Al Majdiah 170
200007;;;;;;;;;;Al Majdiah 178
200008;;;;;;;;;;Al-Mashriqiyah 1
200009;;;;;;;;;;Al Majdiah 174
200010;;;;;;;;;;Al Majdiah 166
200011;;;;;;;;;;Al Majdiah 183
1500003;;;;;;;;;;Opal
4800001;;3952;3;14;282;;;;;Wakan 41
4800002;33000;28729;4;;;;;;;Wakan 36
4800003;4398;1164;3;11;106;;;;;Wakan 42
4800004;;5276;3;24;220;;;;33%;Wakan 038
4800005;;3800;3;16;238;;;;;Wakan 39
4800006;;1443;3;9;160;;;;;Wakan 46
4800007;;7326;4;29;253;;;;;Wakan 45
4800008;44578;14578;3;;;;;;;Wakan 40
1100001;;;;;;;;;;Safa Al Fursan
1100002;;;;;;;;;;Safa 78
1100003;;;4;140;;;;;;Safa 80
1100004;;;;;;;;;;Safa 82
100002;155312;;;;;;;;;Ewan Sedra
100003;412357;;;947;;;;;;Ewan Khuzam
100004;72733;;7;366;;;;;100%;Roya Sedra
100005;187340;;;759;;;;;;Nassaj Town Al Fursan
4900001;;;;136;;;;31.12.2029;;Dyar Alharam
2000001;;;4;12;;;;;83%;Aleen 88
2000002;;;;;;;;;100%;Aleen 90
2000003;;;;;;;;;100%;Aleen 96
2000004;;;4;16;;;;;94%;Aleen 102
2000005;;;;;;;;;100%;Aleen 104
2000006;;;4;23;;;;15.03.2026;82%;Aleen 112
2000007;;;;;;;;;100%;Aleen 120
2000008;;;4;20;;;;01.05.2026;95%;Aleen 122
2000009;;;4;11;;;;20.06.2026;9%;Aleen 126
2000010;;;3;31;;;;30.11.2026;6%;Aleen 130
2000011;;;4;11;;;;30.08.2026;10%;Aleen 138
2000012;;;4;14;;;;30.04.2027;0%;Aleen 142
2000013;;;4;14;;;;31.03.2027;0%;Aleen 144
