project_id;Area;Floor;BR;Total_price;Sqm_price;date;;;;;;;;;;;;;;;;;
200001;121;9;3;2 479 000;20 488;;;;;;;;;;;;;;;;;;
200001;98;9;2;2 039 000;20 806;;;;;;;;;;;;;;;;;;
200001;98;10;2;1 899 000;19 378;;;;;;;;;;;;;;;;;;
200001;96;10;1;2 129 000;22 177;;;;;;;;;;;;;;;;;;
200001;121;10;3;2 519 000;20 818;;;;;;;;;;;;;;;;;;
200001;98;10;2;2 079 000;21 214;;;;;;;;;;;;;;;;;;
200001;98;11;2;1 929 000;19 684;;;;;;;;;;;;;;;;;;
200001;96;11;1;2 169 000;22 594;;;;;;;;;;;;;;;;;;
200001;121;11;3;2 303 100;19 034;;;;;;;;;;;;;;;;;;
200001;96;11;1;2 219 000;23 115;;;;;;;;;;;;;;;;;;
200001;98;11;2;2 119 000;21 622;;;;;;;;;;;;;;;;;;
200001;98;12;2;1 959 000;19 990;;;;;;;;;;;;;;;;;;
200001;96;12;1;2 209 000;23 010;;;;;;;;;;;;;;;;;;
200001;121;12;3;2 599 000;21 479;;;;;;;;;;;;;;;;;;
200001;98;12;2;2 159 000;22 031;;;;;;;;;;;;;;;;;;
200001;98;13;2;1 989 000;20 296;;;;;;;;;;;;;;;;;;
200001;96;13;1;2 249 000;23 427;;;;;;;;;;;;;;;;;;
200001;121;13;3;2 639 000;21 810;;;;;;;;;;;;;;;;;;
200001;98;13;2;2 199 000;22 439;;;;;;;;;;;;;;;;;;
200001;98;14;2;2 019 000;20 602;;;;;;;;;;;;;;;;;;
200001;96;14;1;2 289 000;23 844;;;;;;;;;;;;;;;;;;
200001;121;14;3;2 679 000;22 140;;;;;;;;;;;;;;;;;;
200001;96;14;1;2 339 000;24 365;;;;;;;;;;;;;;;;;;
200001;98;14;2;2 239 000;22 847;;;;;;;;;;;;;;;;;;
200001;98;15;2;2 049 000;20 908;;;;;;;;;;;;;;;;;;
200001;96;15;1;2 329 000;24 260;;;;;;;;;;;;;;;;;;
200001;121;15;3;2 719 000;22 471;;;;;;;;;;;;;;;;;;
200001;96;15;1;2 379 000;24 781;;;;;;;;;;;;;;;;;;
200001;98;15;2;2 279 000;23 255;;;;;;;;;;;;;;;;;;
200001;98;16;2;2 079 000;21 214;;;;;;;;;;;;;;;;;;
200001;96;16;1;2 369 000;24 677;;;;;;;;;;;;;;;;;;
200001;121;16;3;2 759 000;22 802;;;;;;;;;;;;;;;;;;
200001;96;16;1;2 419 000;25 198;;;;;;;;;;;;;;;;;;
200001;98;16;2;2 319 000;23 663;;;;;;;;;;;;;;;;;;
200001;98;17;2;2 099 000;21 418;;;;;;;;;;;;;;;;;;
200001;96;17;1;2 399 000;24 990;;;;;;;;;;;;;;;;;;
200001;121;17;3;2 799 000;23 132;;;;;;;;;;;;;;;;;;
200001;96;17;1;2 459 000;25 615;;;;;;;;;;;;;;;;;;
200001;98;17;2;2 359 000;24 071;;;;;;;;;;;;;;;;;;
200001;98;18;2;2 229 000;22 745;;;;;;;;;;;;;;;;;;
200001;96;18;1;2 449 000;25 510;;;;;;;;;;;;;;;;;;
